name,start,end,concert
Wein am Stein,2022-07-17 15:30:00,2022-07-17 23:59:59,0
Wein am Stein,2022-07-18 16:30:00,2022-07-18 23:59:59,0
Wein am Stein,2022-07-19 16:30:00,2022-07-19 23:59:59,0
Wein am Stein,2022-07-20 16:30:00,2022-07-20 23:59:59,0
Wein am Stein,2022-07-21 16:30:00,2022-07-21 23:59:59,0
Hafensommer,2022-07-22 00:00:00,2022-07-22 23:59:00,0
Wein am Stein,2022-07-22 16:30:00,2022-07-22 23:59:59,0
Hafensommer,2022-07-23 00:00:00,2022-07-23 23:59:00,0
Wein am Stein,2022-07-23 15:30:00,2022-07-23 23:59:59,0
Konzert Sting,2022-07-23 17:30:00,2022-07-23 23:00:00,1
Hafensommer,2022-07-24 00:00:00,2022-07-24 23:59:00,0
Wein am Stein,2022-07-24 15:30:00,2022-07-24 23:59:59,0
Hafensommer,2022-07-25 00:00:00,2022-07-25 23:59:00,0
Wein am Stein,2022-07-25 16:30:00,2022-07-25 23:59:59,0
Hafensommer,2022-07-26 00:00:00,2022-07-26 23:59:00,0
Wein am Stein,2022-07-26 16:30:00,2022-07-26 23:59:59,0
Hafensommer,2022-07-27 00:00:00,2022-07-27 23:59:00,0
Hafensommer,2022-07-28 00:00:00,2022-07-28 23:59:00,0
Hafensommer,2022-07-29 00:00:00,2022-07-29 23:59:00,0
Hafensommer,2022-07-30 00:00:00,2022-07-30 23:59:00,0
Hafensommer,2022-07-31 00:00:00,2022-07-31 23:59:00,0
Hafensommer,2022-08-01 00:00:00,2022-08-01 23:59:00,0
Hafensommer,2022-08-02 00:00:00,2022-08-02 23:59:00,0
Hafensommer,2022-08-03 00:00:00,2022-08-03 23:59:00,0
Hafensommer,2022-08-04 00:00:00,2022-08-04 23:59:00,0
Hafensommer,2022-08-05 00:00:00,2022-08-05 23:59:00,0
Hafensommer,2022-08-06 00:00:00,2022-08-06 23:59:00,0
Hafensommer,2022-08-07 00:00:00,2022-08-07 23:59:00,0
Weinparade,2022-08-25 11:00:00,2022-08-25 23:00:00,0
Weinparade,2022-08-26 11:00:00,2022-08-26 23:30:00,0
Weinparade,2022-08-27 11:00:00,2022-08-27 23:30:00,0
Weinparade,2022-08-28 11:00:00,2022-08-28 23:00:00,0
Weinparade,2022-08-29 11:00:00,2022-08-29 23:00:00,0
Weinparade,2022-08-30 11:00:00,2022-08-30 23:00:00,0
Weinparade,2022-08-31 11:00:00,2022-08-31 23:00:00,0
Weinparade,2022-09-01 11:00:00,2022-09-01 23:00:00,0
Weinparade,2022-09-02 11:00:00,2022-09-02 23:30:00,0
Konzert Paul K,2022-09-02 17:00:00,2022-09-02 23:00:00,1
Weinparade,2022-09-03 11:00:00,2022-09-03 23:30:00,0
Weinparade,2022-09-04 11:00:00,2022-09-04 23:00:00,0
Stramu,2022-09-09 15:00:00,2022-09-09 22:00:00,0
Stramu,2022-09-10 12:00:00,2022-09-10 22:00:00,0
Stramu,2022-09-11 12:00:00,2022-09-11 22:00:00,0
Stadtfest,2022-09-17 15:00:00,2022-09-17 23:00:00,0
